Field,brain_num,threshold,vol_tot_more_thresh.mm3.,vol_tar_more_thresh.mm3.,focality,activation,vol_thresh...,non_target_activ...,mean_tar,sd_tar
Configuration_F3_F4_C1_C2.cache,1,0.078612676,777765,1441,0.185274472,49.96532594,66.31127973,99.81472553,0.077261258,0.011559492
Configuration_AF9_AF10_PO9_PO10.cache,1,0.089513051,769409,1420,0.184557238,49.2371706,65.59885753,99.81544276,0.091170122,0.016372909
Configuration_F1_F2_O9_O10.cache,1,0.039164391,775076,1441,0.185917252,49.96532594,66.08201893,99.81408275,0.040143155,0.007340187
Configuration_AF3_AF4_O9_O10.cache,1,0.039164391,777344,1441,0.185374815,49.96532594,66.2753858,99.81462519,0.040143155,0.007340187
Configuration_F9_F10_P7_P8.cache,1,0.131944528,844237,1475,0.174713972,51.14424411,71.97860005,99.82528603,0.134538134,0.024054076
Configuration_Fp1_Fp2_PO3_PO4.cache,1,0.043294665,805757,1440,0.17871393,49.93065187,68.69784295,99.82128607,0.044023148,0.008070832
Configuration_F9_F10_C1_C2.cache,1,0.078612676,819842,1441,0.175765574,49.96532594,69.89871259,99.82423443,0.077261258,0.011559492
Configuration_F7_F8_P7_P8.cache,1,0.131944528,852481,1475,0.173024384,51.14424411,72.68147327,99.82697562,0.134538134,0.024054076
Configuration_F5_F6_C1_C2.cache,1,0.078612676,825240,1441,0.174615869,49.96532594,70.35893938,99.82538413,0.077261258,0.011559492
Configuration_F7_F8_C1_C2.cache,1,0.078612676,825798,1441,0.17449788,49.96532594,70.40651377,99.82550212,0.077261258,0.011559492
Configuration_F3_F4_PO7_PO8.cache,1,0.083060928,818275,1412,0.172558125,48.95977809,69.76511212,99.82744187,0.084271469,0.015333952
Configuration_Fp1_Fp2_P1_P2.cache,1,0.041520831,844407,1476,0.174797225,51.17891817,71.99309404,99.82520278,0.041906192,0.007294987
Configuration_F5_F6_CP3_CP4.cache,1,0.127354914,845491,1421,0.168068022,49.27184466,72.08551454,99.83193198,0.126077907,0.020147611
Configuration_AF3_AF4_PO3_PO4.cache,1,0.043294665,842270,1440,0.170966555,49.93065187,71.81089607,99.82903345,0.044023148,0.008070832
Configuration_F1_F2_PO3_PO4.cache,1,0.043294665,853603,1440,0.168696689,49.93065187,72.7771336,99.83130331,0.044023148,0.008070832
Configuration_F9_F10_CP3_CP4.cache,1,0.127354914,865195,1421,0.164240431,49.27184466,73.76545315,99.83575957,0.126077907,0.020147611
Configuration_AF3_AF4_P1_P2.cache,1,0.041520831,878155,1476,0.168079667,51.17891817,74.87040668,99.83192033,0.041906192,0.007294987
Configuration_F1_F2_P1_P2.cache,1,0.041520831,883089,1476,0.167140571,51.17891817,75.29107341,99.83285943,0.041906192,0.007294987
Configuration_F5_F6_PO9_PO10.cache,1,0.089513051,874632,1420,0.162353996,49.2371706,74.57004007,99.837646,0.091170122,0.016372909
Configuration_AF7_AF8_PO7_PO8.cache,1,0.083060928,871228,1412,0.16207009,48.95977809,74.27981925,99.83792991,0.084271469,0.015333952
Configuration_F7_F8_CP3_CP4.cache,1,0.127354914,893453,1421,0.159045859,49.27184466,76.1746952,99.84095414,0.126077907,0.020147611
Configuration_F5_F6_P5_P6.cache,1,0.112085284,913846,1436,0.157138074,49.79195562,77.9133771,99.84286193,0.113348366,0.019928455
Configuration_F7_F8_PO9_PO10.cache,1,0.089513051,901487,1420,0.157517524,49.2371706,76.85966408,99.84248248,0.091170122,0.016372909
Configuration_F3_F4_P3_P4.cache,1,0.075964966,890736,1408,0.158071527,48.82108183,75.94304715,99.84192847,0.076279995,0.013274211
Configuration_F9_F10_PO9_PO10.cache,1,0.089513051,905054,1420,0.156896716,49.2371706,77.16378208,99.84310328,0.091170122,0.016372909
Configuration_Fp1_Fp2_O1_O2.cache,1,0.033557619,926654,1458,0.15734028,50.55478502,79.0053713,99.84265972,0.034369523,0.006414093
Configuration_AF9_AF10_PO7_PO8.cache,1,0.083060928,913238,1412,0.154614679,48.95977809,77.86153977,99.84538532,0.084271469,0.015333952
Configuration_F1_F2_O1_O2.cache,1,0.033557619,933707,1458,0.156151769,50.55478502,79.60670134,99.84384823,0.034369523,0.006414093
Configuration_F3_F4_CP1_CP2.cache,1,0.062302549,952233,1457,0.15300877,50.52011096,81.18620513,99.84699123,0.061887701,0.009952935
Configuration_AF3_AF4_O1_O2.cache,1,0.033557619,945979,1458,0.154126043,50.55478502,80.65299685,99.84587396,0.034369523,0.006414093
Configuration_F9_F10_P5_P6.cache,1,0.112085284,964390,1436,0.148902415,49.79195562,82.22269588,99.85109759,0.113348366,0.019928455
Configuration_F3_F4_O9_O10.cache,1,0.039164391,943974,1441,0.152652509,49.96532594,80.48205303,99.84734749,0.040143155,0.007340187
Configuration_AF7_AF8_O9_O10.cache,1,0.039164391,947497,1441,0.152084914,49.96532594,80.78241964,99.84791509,0.040143155,0.007340187
