"","Participant","Trial_Nr","Run_Nr","Trial_nr_run","Cue_Taste1_Size2","Top_image_index","Bottom_image_index","Choice","RT_choice","Size_top_image","Taste_top_image","Size_bottom_image","Taste_bottom_image","Size_diff","Taste_diff","Cued_diff","Category","mean_RT_size_pic1","mean_RT_taste_pic1","mean_RT_size_pic2","mean_RT_taste_pic2","Diff_category_oposite_to_cue","Category_opposite_to_cue","Stimulation","Session_type","Accuracy","Size1_TopPic","Size2_TopPic","Taste1_TopPic","Taste2_TopPic","Size1_BotPic","Size2_BotPic","Taste1_BotPic","Taste2_BotPic","Amplitude","Circumfence","Time_between_tasks","Name_top_image","Name_bottom_image","Choice01","Size_diff.ntile","Taste_diff.ntile","Size_diff.abs","Taste_diff.abs","corr"
"852",3,148,6,4,1,10,22,-1,0.691036227,0.246527778,0.809461806,0.169704861,0.888888889,0.076822917,-0.079427083,-0.079427083,3,1.739187781,0.882503814,1.271907531,0.848471355,0.076822917,6,0,1,0,0.264756944,0.228298611,0.835069444,0.783854167,0.170138889,0.169270833,0.84375,0.934027778,2,55.5,45.89566667,"oreo","toblerone",0,6,3,-0.576433161929974,-0.558160316053959,1
"853",3,149,6,5,1,19,30,1,0.525826815,0.247395833,0.588107639,0.108506944,0.476128472,0.138888889,0.111979167,0.111979167,7,0.873445548,1.031373191,0.989968083,0.856431239,0.138888889,7,0,1,0,0.221354167,0.2734375,0.543402778,0.6328125,0.0859375,0.131076389,0.457465278,0.494791667,2,55.5,45.89566667,"smarties","radish",1,7,6,-0.0936393572783323,-0.370120723343017,1
"854",3,150,6,6,1,2,25,-1,1.045267006,0.117621528,0.515190972,0.625434028,0.444444444,-0.5078125,0.070746528,0.070746528,6,0.814175643,1.131151069,0.789579048,1.315040495,-0.5078125,0,0,1,0,0.102430556,0.1328125,0.533854167,0.496527778,0.65625,0.594618056,0.411458333,0.477430556,2,55.5,45.89566667,"salad","wasafibers",0,1,6,2.77611403642526,-0.608304203207388,0
"861",3,157,6,13,1,2,28,-1,0.890622133,0.117621528,0.515190972,0.163628472,0.526475694,-0.046006944,-0.011284722,-0.011284722,4,0.814175643,1.131151069,1.381050446,0.882407529,-0.046006944,4,0,1,0,0.102430556,0.1328125,0.533854167,0.496527778,0.160590278,0.166666667,0.5,0.552951389,2,55.5,45.89566667,"salad","paprikachips",0,4,4,-0.816141980938114,-0.951789854758824,1
"862",3,158,6,14,1,6,24,1,0.789896772,0.576822917,0.910590278,0.549045139,0.828559028,0.027777778,0.08203125,0.08203125,6,1.331334165,1.589793036,1.430967972,0.982180002,0.027777778,5,0,1,0,0.596354167,0.557291667,0.868055556,0.953125,0.575520833,0.522569444,0.868923611,0.788194444,2,55.5,45.89566667,"mandm","twix",1,5,6,-0.957941555248597,-0.543117147019643,1
"863",3,159,6,15,1,20,9,1,0.656974613,0.229166667,0.789496528,0.327690972,0.626736111,-0.098524306,0.162760417,0.162760417,8,0.955945579,1.231388181,1.273233467,1.174296975,-0.098524306,3,0,1,0,0.254340278,0.203993056,0.868923611,0.710069444,0.417534722,0.237847222,0.625868056,0.627604167,2,55.5,45.89566667,"snickers","orange",1,3,7,-0.407624137855796,-0.0767789647215855,1
"864",3,160,6,16,1,11,20,1,0.668461604,0.270399306,0.952256944,0.229166667,0.789496528,0.041232639,0.162760417,0.162760417,8,1.155222295,1.655647396,0.955945579,1.231388181,0.041232639,5,0,1,0,0.263888889,0.276909722,0.936631944,0.967881944,0.254340278,0.203993056,0.868923611,0.710069444,2,55.5,45.89566667,"chocolatechipcookie","snickers",1,5,7,-0.853279961722776,-0.0767789647215855,1
"865",3,161,6,17,1,18,3,-1,0.711875457,0.352430556,0.817274306,0.427083333,0.931423611,-0.074652778,-0.114149306,-0.114149306,2,1.131769023,1.447134069,1.114718732,1.073509605,-0.074652778,3,0,1,0,0.349826389,0.355034722,0.780381944,0.854166667,0.538194444,0.315972222,0.918402778,0.944444444,2,55.5,45.89566667,"rasberries","petitbeurre",0,3,3,-0.593314065115264,-0.357584750110515,1
"873",3,169,6,25,1,16,27,-1,1.105281302,0.275173611,0.81640625,0.208767361,0.817708333,0.06640625,-0.001302083,-0.001302083,4,2.487967018,1.355765924,1.63064746,0.981346012,0.06640625,6,0,1,0,0.280381944,0.269965278,0.750868056,0.881944444,0.251736111,0.165798611,0.860243056,0.775173611,2,55.5,45.89566667,"plum","graneochips",0,6,4,-0.657461495663622,-1.0094553293177,1
"874",3,170,6,26,1,31,26,1,1.062013654,0.8203125,0.811631944,0.450954861,0.792534722,0.369357639,0.019097222,0.019097222,5,0.963788983,1.13323832,1.64832168,1.331610929,0.369357639,0,0,1,0,0.801215278,0.839409722,0.808159722,0.815104167,0.629340278,0.272569444,0.8046875,0.780381944,2,55.5,45.89566667,"muffins","zucchini",1,8,5,1.69911246921056,-0.90666035343245,1
"875",3,171,6,27,1,9,28,1,0.883648701,0.327690972,0.626736111,0.163628472,0.526475694,0.1640625,0.100260417,0.100260417,7,1.273233467,1.174296975,1.381050446,0.882407529,0.1640625,8,0,1,0,0.417534722,0.237847222,0.625868056,0.627604167,0.160590278,0.166666667,0.5,0.552951389,2,55.5,45.89566667,"orange","paprikachips",1,7,6,0.102179108780822,-0.437814975332578,1
"876",3,172,6,28,1,32,9,1,0.775169678,0.610677083,0.642795139,0.327690972,0.626736111,0.282986111,0.016059028,0.016059028,5,1.980099152,1.083210856,1.273233467,1.174296975,0.282986111,0,0,1,0,0.546006944,0.675347222,0.627604167,0.657986111,0.417534722,0.237847222,0.625868056,0.627604167,2,55.5,45.89566667,"yogurt","orange",1,8,5,1.02725255510664,-0.924210712492006,1
"887",3,7,1,7,1,28,19,-1,1.457358482,0.56640625,0.756944444,0.376736111,0.875,0.189670139,-0.118055556,-0.118055556,2,1.585393542,1.242140724,0.907520943,1.134039258,0.189670139,8,0,0,0,0.614583333,0.518229167,0.8515625,0.662326389,0.342013889,0.411458333,0.905381944,0.844618056,2,55.5,13.1914,"mango","cottagecheese",0,8,3,0.301373757032778,-0.335019999447328,1
"888",3,8,1,8,1,3,31,-1,1.550672527,0.410590278,0.836371528,0.372395833,0.757378472,0.038194444,0.078993056,0.078993056,6,2.640346391,0.826052737,1.61666268,1.758868201,0.038194444,5,0,0,0,0.266493056,0.5546875,0.880208333,0.792534722,0.443576389,0.301215278,0.861111111,0.653645833,2,55.5,13.1914,"banana","melon",0,5,6,-0.87691322929367,-0.560667506079199,0
"889",3,9,1,9,1,2,16,1,0.84024254,0.301215278,0.543402778,0.4375,0.635416667,-0.136284722,-0.092013889,-0.092013889,3,2.433201882,1.441714598,1.717327057,1.043483474,-0.136284722,2,0,0,0,0.283854167,0.318576389,0.466145833,0.620659722,0.433159722,0.441840278,0.643229167,0.627604167,2,55.5,13.1914,"balisto","applegreen",1,2,3,-0.113896442656424,-0.485451672460767,0
"890",3,10,1,10,1,28,12,-1,1.041500468,0.56640625,0.756944444,0.296006944,0.749131944,0.270399306,0.0078125,0.0078125,5,1.585393542,1.242140724,1.825147776,1.284331255,0.270399306,0,0,0,0,0.614583333,0.518229167,0.8515625,0.662326389,0.379340278,0.212673611,0.828125,0.670138889,2,55.5,13.1914,"mango","croissant",0,8,5,0.929343325966426,-0.971847409620196,0
"891",3,11,1,11,1,16,23,-1,0.647685773,0.4375,0.635416667,0.731770833,0.736111111,-0.294270833,-0.100694444,-0.100694444,2,1.717327057,1.043483474,1.225436004,1.117909685,-0.294270833,0,0,0,0,0.433159722,0.441840278,0.643229167,0.627604167,0.889756944,0.573784722,0.686631944,0.785590278,2,55.5,13.1914,"applegreen","kitkat",0,1,3,1.11503324544717,-0.435307785307338,1
"892",3,12,1,12,1,30,24,1,0.830759157,0.15234375,0.777777778,0.244357639,0.717881944,-0.092013889,0.059895833,0.059895833,6,2.015211244,1.491942964,1.192418812,1.433467127,-0.092013889,3,0,0,0,0.157986111,0.146701389,0.855034722,0.700520833,0.261284722,0.227430556,0.866319444,0.569444444,2,55.5,13.1914,"mars","kiwi",1,3,5,-0.458266847411665,-0.670984069369894,1
"893",3,13,1,13,1,24,8,-1,0.754313816,0.244357639,0.717881944,0.228732639,0.797309028,0.015625,-0.079427083,-0.079427083,3,1.192418812,1.433467127,1.099641941,1.360042587,0.015625,5,0,0,0,0.261284722,0.227430556,0.866319444,0.569444444,0.190972222,0.266493056,0.817708333,0.776909722,2,55.5,13.1914,"kiwi","carrot",0,5,3,-1.05247460997473,-0.558160316053959,1
