Participant,Trial_Nr,Run_Nr,Trial_nr_run,Cue_Taste1_Size2,Top_image_index,Bottom_image_index,Choice,RT_choice,Size_top_image,Taste_top_image,Size_bottom_image,Taste_bottom_image,Size_diff,Taste_diff,Cued_diff,Category,mean_RT_size_pic1,mean_RT_taste_pic1,mean_RT_size_pic2,mean_RT_taste_pic2,Diff_category_oposite_to_cue,Category_opposite_to_cue,Stimulation,Session_type,Accuracy,Size1_TopPic,Size2_TopPic,Taste1_TopPic,Taste2_TopPic,Size1_BotPic,Size2_BotPic,Taste1_BotPic,Taste2_BotPic,Amplitude,Circumfence,Time_between_tasks,Name_top_image,Name_bottom_image
4,82,3,24,1,16,8,1,0.851827358,0.490017361,0.774305556,0.3203125,0.649739583,0.169704861,0.124565972,0.124565972,7,1.016619676,1.156531191,1.309643642,1.046133799,0.169704861,8,0,0,0,0.496527778,0.483506944,0.770833333,0.777777778,0.397569444,0.243055556,0.622395833,0.677083333,2,56,0,applegreen,carrot
4,83,3,25,1,12,22,-1,1.313576659,0.311197917,0.525607639,0.516927083,0.699652778,-0.205729167,-0.174045139,-0.174045139,1,1.731238882,1.408347797,2.707067483,1.08717931,-0.205729167,0,0,0,0,0.395833333,0.2265625,0.506944444,0.544270833,0.528645833,0.505208333,0.680555556,0.71875,2,56,0,croissant,bueno
4,84,3,26,1,19,6,1,1.292235627,0.357204861,0.922309028,0.276909722,0.769965278,0.080295139,0.15234375,0.15234375,8,1.757442211,1.397526099,2.601146824,1.136174623,0.080295139,6,0,0,0,0.251736111,0.462673611,0.896701389,0.947916667,0.3046875,0.249131944,0.840277778,0.699652778,2,56,0,cottagecheese,bounty
4,85,4,1,2,2,4,1,1.599093418,0.580295139,0.185329861,0.3984375,0.973958333,0.181857639,-0.788628472,0.181857639,8,2.227985119,1.068589854,1.799274495,1.31692315,-0.788628472,0,0,0,0,0.636284722,0.524305556,0.0703125,0.300347222,0.376736111,0.420138889,0.975694444,0.972222222,2,56,0,balisto,benandjerrys
4,86,4,2,2,28,26,1,1.174039189,0.686197917,0.949652778,0.639322917,0.221354167,0.046875,0.728298611,0.046875,5,2.107598741,1.039770345,1.806588279,1.083966223,0.728298611,0,0,0,0,0.663194444,0.709201389,0.9609375,0.938368056,0.565972222,0.712673611,0.265625,0.177083333,2,56,0,mango,magnum
4,87,4,3,2,3,30,1,1.618742004,0.3125,0.838975694,0.341579861,0,-0.029079861,0.838975694,-0.029079861,4,2.136158694,1.419410562,1.447729164,0.631807259,0.838975694,0,0,0,0,0.308159722,0.316840278,0.838541667,0.839409722,0.425347222,0.2578125,0,0,2,56,0,banana,mars
4,88,4,4,2,20,3,1,1.780531866,0.276475694,0.2265625,0.3125,0.838975694,-0.036024306,-0.612413194,-0.036024306,4,1.311099572,1.036486858,2.136158694,1.419410562,-0.612413194,0,0,0,0,0.333333333,0.219618056,0.182291667,0.270833333,0.308159722,0.316840278,0.838541667,0.839409722,2,56,0,cornflakes,banana
4,89,4,5,2,6,17,-1,1.153858122,0.276909722,0.769965278,0.298611111,0.233072917,-0.021701389,0.536892361,-0.021701389,4,2.601146824,1.136174623,0.942389,1.151934992,0.536892361,0,0,0,0,0.3046875,0.249131944,0.840277778,0.699652778,0.338541667,0.258680556,0.123263889,0.342881944,2,56,0,bounty,caramel
4,90,4,6,1,29,27,-1,0.852382025,0.220052083,0.563802083,0.545572917,0.638020833,-0.325520833,-0.07421875,-0.07421875,3,2.213386422,1.256237161,1.360478316,1.089785677,-0.325520833,0,0,0,0,0.297743056,0.142361111,0.546006944,0.581597222,0.469618056,0.621527778,0.642361111,0.633680556,2,56,0,maoam,maltesers
4,91,4,7,1,8,29,1,1.115398641,0.3203125,0.649739583,0.220052083,0.563802083,0.100260417,0.0859375,0.0859375,6,1.309643642,1.046133799,2.213386422,1.256237161,0.100260417,7,0,0,0,0.397569444,0.243055556,0.622395833,0.677083333,0.297743056,0.142361111,0.546006944,0.581597222,2,56,0,carrot,maoam
4,92,4,8,1,11,26,-1,1.894449119,0.249565972,0.296006944,0.639322917,0.221354167,-0.389756944,0.074652778,0.074652778,6,1.999906987,1.274135843,1.806588279,1.083966223,-0.389756944,0,0,0,0,0.2890625,0.210069444,0.329861111,0.262152778,0.565972222,0.712673611,0.265625,0.177083333,2,56,0,corny,magnum
4,93,4,9,1,12,8,-1,0.931663586,0.311197917,0.525607639,0.3203125,0.649739583,-0.009114583,-0.124131944,-0.124131944,2,1.731238882,1.408347797,1.309643642,1.046133799,-0.009114583,4,0,0,0,0.395833333,0.2265625,0.506944444,0.544270833,0.397569444,0.243055556,0.622395833,0.677083333,2,56,0,croissant,carrot
4,94,4,10,1,21,24,1,0.937712587,0.483940972,0.594184028,0.330729167,0.734809028,0.153211806,-0.140625,-0.140625,2,1.10722242,1.627900269,1.811777546,0.957633955,0.153211806,8,0,0,0,0.478298611,0.489583333,0.578125,0.610243056,0.332465278,0.328993056,0.684027778,0.785590278,2,56,0,frosties,kiwi
4,95,4,11,2,18,17,1,1.130509196,0.478298611,0.970920139,0.298611111,0.233072917,0.1796875,0.737847222,0.1796875,8,1.115873806,1.605517601,0.942389,1.151934992,0.737847222,0,0,0,0,0.458333333,0.498263889,0.941840278,1,0.338541667,0.258680556,0.123263889,0.342881944,2,56,0,haribo,caramel
4,96,4,12,2,20,24,-1,1.370328494,0.276475694,0.2265625,0.330729167,0.734809028,-0.054253472,-0.508246528,-0.054253472,3,1.311099572,1.036486858,1.811777546,0.957633955,-0.508246528,0,0,0,0,0.333333333,0.219618056,0.182291667,0.270833333,0.332465278,0.328993056,0.684027778,0.785590278,2,56,0,cornflakes,kiwi
4,97,4,13,2,28,27,1,1.254705426,0.686197917,0.949652778,0.545572917,0.638020833,0.140625,0.311631944,0.140625,7,2.107598741,1.039770345,1.360478316,1.089785677,0.311631944,0,0,0,0,0.663194444,0.709201389,0.9609375,0.938368056,0.469618056,0.621527778,0.642361111,0.633680556,2,56,0,mango,maltesers
4,98,4,14,2,18,9,1,1.248158932,0.478298611,0.970920139,0.286892361,0.395833333,0.19140625,0.575086806,0.19140625,8,1.115873806,1.605517601,1.795156305,1.136475708,0.575086806,0,0,0,0,0.458333333,0.498263889,0.941840278,1,0.418402778,0.155381944,0.395833333,0.395833333,2,56,0,haribo,chocovo
4,99,4,15,1,23,6,-1,1.664077082,0.761284722,0.584635417,0.276909722,0.769965278,0.484375,-0.185329861,-0.185329861,1,0.943210192,1.65316678,2.601146824,1.136174623,0.484375,0,0,0,0,0.703993056,0.818576389,0.6171875,0.552083333,0.3046875,0.249131944,0.840277778,0.699652778,2,56,0,kitkat,bounty
4,100,4,16,1,26,9,1,1.35323735,0.639322917,0.221354167,0.286892361,0.395833333,0.352430556,-0.174479167,-0.174479167,1,1.806588279,1.083966223,1.795156305,1.136475708,0.352430556,0,0,0,0,0.565972222,0.712673611,0.265625,0.177083333,0.418402778,0.155381944,0.395833333,0.395833333,2,56,0,magnum,chocovo
4,101,4,17,1,6,31,-1,1.095691175,0.276909722,0.769965278,0.212239583,0.845052083,0.064670139,-0.075086806,-0.075086806,3,2.601146824,1.136174623,1.759805093,1.25795734,0.064670139,6,0,0,0,0.3046875,0.249131944,0.840277778,0.699652778,0.301215278,0.123263889,0.770833333,0.919270833,2,56,0,bounty,melon
4,102,4,18,1,29,1,-1,1.150683435,0.220052083,0.563802083,0.103298611,0.735243056,0.116753472,-0.171440972,-0.171440972,1,2.213386422,1.256237161,1.212140554,2.169159824,0.116753472,7,0,0,0,0.297743056,0.142361111,0.546006944,0.581597222,0.089409722,0.1171875,0.795138889,0.675347222,2,56,0,maoam,pineapple
4,103,4,19,1,1,24,1,1.603105795,0.103298611,0.735243056,0.330729167,0.734809028,-0.227430556,0.000434028,0.000434028,5,1.212140554,2.169159824,1.811777546,0.957633955,-0.227430556,0,0,0,0,0.089409722,0.1171875,0.795138889,0.675347222,0.332465278,0.328993056,0.684027778,0.785590278,2,56,0,pineapple,kiwi
4,104,4,20,1,21,14,1,1.038991393,0.483940972,0.594184028,0.174479167,0.644965278,0.309461806,-0.05078125,-0.05078125,3,1.10722242,1.627900269,1.205386415,1.323207102,0.309461806,0,0,0,0,0.478298611,0.489583333,0.578125,0.610243056,0.2578125,0.091145833,0.657986111,0.631944444,2,56,0,frosties,duplo
4,105,4,21,1,12,7,1,1.224619712,0.311197917,0.525607639,0.840277778,0.549045139,-0.529079861,-0.0234375,-0.0234375,4,1.731238882,1.408347797,2.009643528,2.2105397,-0.529079861,0,0,0,0,0.395833333,0.2265625,0.506944444,0.544270833,0.829861111,0.850694444,0.5390625,0.559027778,2,56,0,croissant,broccoli
4,106,4,22,2,23,7,-1,1.90892906,0.761284722,0.584635417,0.840277778,0.549045139,-0.078993056,0.035590278,-0.078993056,3,0.943210192,1.65316678,2.009643528,2.2105397,0.035590278,5,0,0,0,0.703993056,0.818576389,0.6171875,0.552083333,0.829861111,0.850694444,0.5390625,0.559027778,2,56,0,kitkat,broccoli
